original_name,new_name,no_contigs
Syn_A15-127,Syn_A15_127,1
Syn_A15-24-2,Syn_A15_24_2,1
Syn_A15-28,Syn_A15_28,1
Syn_A15-44,Syn_A15_44,1
Syn_A15-60,Syn_A15_60,1
Syn_A15-62,Syn_A15_62,1
Syn_A18-25c,Syn_A18_25c,1
Syn_A18-40,Syn_A18_40,1
Syn_A18-46,Syn_A18_46,1
Syn_BIOS-E4-1,Syn_BIOS_E4_1,1
Syn_BIOS-U3-1,Syn_BIOS_U3_1,1
Syn_BL107,Syn_BL107,1
Syn_BMK-MC-1,Syn_BMK_MC_1,1
Syn_BOUM118,Syn_BOUM118,1
Syn_CC9311,Syn_CC9311,1
Syn_CC9605,Syn_CC9605,1
Syn_CC9616,Syn_CC9616,1
Syn_CC9902,Syn_CC9902,1
Syn_KORDI-100,Syn_KORDI_100,1
Syn_KORDI-49,Syn_KORDI_49,1
Syn_KORDI-52,Syn_KORDI_52,1
Syn_M16,Syn_M16,1
Syn_MEDNS5,Syn_MEDNS5,1
Syn_MINOS11,Syn_MINOS11,1
Syn_MITS9220,Syn_MITS9220,1
Syn_MVIR-18-1,Syn_MVIR_18_1,1
Syn_NOUM97013,Syn_NOUM97013,1
Syn_PROS-7-1,Syn_PROS_7_1,1
Syn_PROS-9-1,Syn_PROS_9_1,1
Syn_PROS-U-1,Syn_PROS_U_1,1
Syn_RCC307,Syn_RCC307,1
Syn_ROS8604,Syn_ROS8604,1
Syn_RS9902,Syn_RS9902,1
Syn_RS9907,Syn_RS9907,1
Syn_RS9909,Syn_RS9909,1
Syn_RS9915,Syn_RS9915,1
Syn_RS9916,Syn_RS9916,1
Syn_RS9917,Syn_RS9917,1
Syn_SYN20,Syn_SYN20,1
Syn_TAK9802,Syn_TAK9802,1
Syn_WH7803,Syn_WH7803,1
Syn_WH7805,Syn_WH7805,2
Syn_WH8016,Syn_WH8016,1
Syn_WH8020,Syn_WH8020,1
Syn_WH8101,Syn_WH8101,1
Syn_WH8102,Syn_WH8102,1
Syn_WH8103,Syn_WH8103,1
Syn_WH8109-3,Syn_WH8109_3,1
