"strain_name","clade_species","isolation_ocean","lat_bin","lon_bin","temp_bin"
"A15_127","WPC1","South Atlantic","(-60,-30]","(-30,0]","(15,20]"
"KORDI_49","WPC1","North Pacific","(30,60]","(120,150]","(15,20]"
"KORDI_100","UC","North Pacific","(0,30]","(150,180]","(25,30]"
"CC9616","EnvC","North Pacific","(0,30]","(-150,-120]","(15,20]"
"M16","II","North Atlantic","(0,30]","(-120,-90]","(20,25]"
"TAK9802","II","South Pacific","(-30,0]","(-150,-120]","(25,30]"
"RS9907","II","Red sea","(0,30]","(30,60]","(20,25]"
"RS9902","II","Indian ocean","(0,30]","(30,60]","(20,25]"
"A15_44","II","North Atlantic","(0,30]","(-30,0]","(20,25]"
"WH8109","II","North Atlantic","(30,60]","(-90,-60]","(20,25]"
"A15_62","II","North Atlantic","(0,30]","(-30,0]","(25,30]"
"CC9605","II","North Pacific","(30,60]","(-150,-120]","(15,20]"
"KORDI_52","II","North Pacific","(30,60]","(120,150]","(20,25]"
"PROS_U_1","II","North Atlantic","(30,60]","(-30,0]","(20,25]"
"BL107","IV","Mediterranean sea","(30,60]","(0,30]","(10,15]"
"CC9902","IV","North Pacific","(30,60]","(-120,-90]","(15,20]"
"WH8103","III","North Atlantic","(0,30]","(-90,-60]","(25,30]"
"WH8102","III","North Atlantic","(0,30]","(-90,-60]","(25,30]"
"A18_46","III","North Atlantic","(0,30]","(-60,-30]","(25,30]"
"BOUM118","III","Mediterranean sea","(30,60]","(30,60]","(20,25]"
"RS9915","III","Indian ocean","(0,30]","(30,60]","(20,25]"
"A18_40","III","North Atlantic","(0,30]","(-60,-30]","(25,30]"
"A15_24","III","North Atlantic","(30,60]","(-30,0]","(20,25]"
"A15_28","III","North Atlantic","(30,60]","(-30,0]","(25,30]"
"RCC307","C","Mediterranean sea","(30,60]","(0,30]","(15,20]"
"MINOS11","C","Mediterranean sea","(30,60]","(0,30]","(15,20]"
"MITS9220","CRD1","South Pacific","(-30,0]","(-150,-120]","(25,30]"
"BIOS_U3_1","CRD1","South Pacific","(-60,-30]","(-120,-90]","(15,20]"
"BIOS_E4_1","CRD1","South Pacific","(-60,-30]","(-90,-60]","(15,20]"
"A15_60","VII","North Atlantic","(0,30]","(-30,0]","(25,30]"
"A18_25c","VII","North Atlantic","(0,30]","(-60,-30]","(20,25]"
"NOUM97013","VII","South Pacific","(-30,0]","(150,180]","(20,25]"
"MEDNS5","VI","Mediterranean sea","(30,60]","(0,30]","(20,25]"
"PROS_7_1","VI","Mediterranean sea","(30,60]","(0,30]","(25,30]"
"WH7805","VI","North Atlantic","(30,60]","(-90,-60]","(25,30]"
"WH7803","V","North Atlantic","(30,60]","(-90,-60]","(25,30]"
"BMK_MC_1","V","Mediterranean sea","(30,60]","(0,30]","(15,20]"
"MVIR_18_1","I","North Atlantic","(60,90]","(0,30]","(10,15]"
"SYN20","I","North Atlantic","(60,90]","(0,30]","[5,10]"
"PROS_9_1","I","Mediterranean sea","(30,60]","(0,30]","(15,20]"
"WH8020","","North Atlantic","(30,60]","(-90,-60]","(15,20]"
"CC9311","I","North Pacific","(30,60]","(-150,-120]","(15,20]"
"WH8016","I","North Atlantic","(30,60]","(-90,-60]","(15,20]"
"ROS8604","I","North Atlantic","(30,60]","(-30,0]","(10,15]"
"RS9909","VIII","Red sea","(0,30]","(30,60]","(20,25]"
"RS9917","VIII","Red sea","(0,30]","(30,60]","(20,25]"
"WH8101","VIII","North Atlantic","(30,60]","(-90,-60]","[5,10]"
"RS9916","IX","Indian ocean","(0,30]","(30,60]","(25,30]"
