strain_name,db_name,Cluster,clade,Subclade,isolation_ocean,Isolation_latitude_N,Isolation_longitude_E,isolation_temperature,Seawater_thermal_amplitude,temp_cat,Paper,temp_cat2,temp_cat3,clade_species
A15_11,,5.1,,,North Atlantic,45.58,-18.23,18.25,4.03,Cool,pittera2014,medium,cold,
A15_127,Syn_A15_127,5.1,WPC1,,South Atlantic,-31.117,-3.917,19.4333333333333,,Cool,,medium,cold,WPC1
A15_19,,5.1,,,North Atlantic,38.53,-20.21,22.02,4.48,Warm,pittera2014,medium,warm,
A15_22,,5.1,,,North Atlantic,35.50,-20.51,23.78,4.07,Warm,pittera2014,medium,warm,
A15_24,Syn_A15_24,5.1,III,A,North Atlantic,35.083,-20.850,20.4916666666667,,Warm,,medium,warm,III
A15_28,Syn_A15_28,5.1,III,B,North Atlantic,31.15,-20.43,25.15,3.08,Hot,pittera2014,warm,warm,III
A15_29,,5.1,,,North Atlantic,31.15,-20.43,25.15,3.08,Hot,pittera2014,warm,warm,
A15_34,,5.1,,,North Atlantic,29.70,-16.58,24.61,2.50,Warm,pittera2014,warm,warm,
A15_37,,5.1,,,North Atlantic,23.33,-19.59,24.53,1.64,Warm,pittera2014,warm,warm,
A15_44,Syn_A15_44,5.1,II,A,North Atlantic,21.41,-17.50,22.61,2.09,Warm,pittera2014,medium,warm,II
A15_46,,5.1,,,North Atlantic,21.22,-18.49,23.30,1.78,Warm,pittera2014,medium,warm,
A15_60,Syn_A15_60,5.1,VII,A,North Atlantic,17.37,-20.57,26.02,1.32,Hot,pittera2014,warm,warm,VII
A15_62,Syn_A15_62,5.1,II,C,North Atlantic,17.37,-20.57,26.02,1.27,Hot,pittera2014,warm,warm,II
A18_25c,Syn_A18_25c,5.1,VII,A,North Atlantic,27.633,-37.033,23.7833333333333,,Warm,,medium,warm,VII
A18_40,Syn_A18_40,5.1,III,A,North Atlantic,10.900,-32.200,26.8583333333333,,Hot,,warm,warm,III
A18_46,Syn_A18_46,5.1,III,A,North Atlantic,10.900,-32.200,26.8583333333333,,Hot,,warm,warm,III
ALMO3,,5.1,,,Mediterranean sea,36.11,-1.51,17.51,7.64,Cool,pittera2014,cool,cold,
BIOS_E4_1,Syn_BIOS_E4_1,5.1,CRD1,B,South Pacific,-33.60,-73.22,16.56,3.32,Cool,pittera2014,cool,cold,CRD1
BIOS_H3-1,,5.1,,,South Pacific,-9.40,-136.59,28.08,0.32,Hot,pittera2014,warm,warm,
BIOS_H3-2,,5.1,,,South Pacific,-9.40,-136.59,28.08,0.32,Hot,pittera2014,warm,warm,
BIOS_S15_1,,5.1,,,South Pacific,-30.47,-95.26,18.66,4.07,Cool,pittera2014,medium,cold,
BIOS_U3_1,Syn_BIOS_U3_1,5.1,CRD1,A,South Pacific,-31.52,-91.25,16.56,3.32,Cool,pittera2014,cool,cold,CRD1
BIOS_U3-2,,5.1,,,South Pacific,-33.00,-73.20,16.56,3.32,Cool,pittera2014,cool,cold,
BL107,Syn_BL107,5.1,IV,A,Mediterranean sea,41.43,3.33,13.89,9.00,Cold,pittera2014,cool,cold,IV
BL1237,,5.1,,,Mediterranean sea,41.40,2.48,15.25,9.45,Cool,pittera2014,cool,cold,
BL164,,5.1,,,Mediterranean sea,41.40,2.48,15.25,9.45,Cool,pittera2014,cool,cold,
BL36,,5.1,,,Mediterranean sea,41.40,2.48,15.25,9.45,Cool,pittera2014,cool,cold,
BL8,,5.1,,,Mediterranean sea,41.40,2.48,15.25,9.45,Cool,pittera2014,cool,cold,
BMK_MC_1,Syn_BMK_MC_1,5.1,V,,Mediterranean sea,40.800,14.250,19.65,,Cool,,medium,cold,V
BOUM118,Syn_BOUM118,5.1,III,A,Mediterranean sea,33.633,32.633,22.3166666666667,,Warm,,medium,warm,III
CB0101,Syn_CB0101,5.2,,A,North Atlantic,39.290,-76.613,11.3083333333333,,Cold,,cool,cold,B
CB0205,Syn_CB0205,5.2,,A,North Atlantic,38.300,-76.283,12.6333333333333,,Cold,,cool,cold,B
CC9311,Syn_CC9311,5.1,I,A,North Pacific,31.90,-124.16,16.59,2.29,Cool,pittera2014,cool,cold,I
CC9605,Syn_CC9605,5.1,II,C,North Pacific,30.41,-123.98,18.02,2.03,Cool,pittera2014,medium,cold,II
CC9616,Syn_CC9616,5.1,EnvC,,North Pacific,30.000,-124.000,18.07,,Cool,,medium,cold,EnvC
CC9902,Syn_CC9902,5.1,IV,A,North Pacific,32.90,-117.25,15.56,4.38,Cool,pittera2014,cool,cold,IV
KORDI_100,Syn_KORDI_100,5.1,UC,A,North Pacific,9.266,158.402,28.9166666666667,,Hot,,warm,warm,UC
KORDI_49,Syn_KORDI_49,5.1,WPC1,,North Pacific,32.500,126.000,19.175,,Cool,,medium,cold,WPC1
KORDI_52,Syn_KORDI_52,5.1,II,A,North Pacific,32.000,126.750,20.9333333333333,,Warm,,medium,warm,II
M16,Syn_M16,5.1,II,A,North Atlantic,27.42,-91.18,24.15,5.45,Warm,pittera2014,warm,warm,II
M16.3,,5.1,,,North Atlantic,27.42,-91.18,24.15,5.45,Warm,pittera2014,warm,warm,
MEDNS5,Syn_MEDNS5,5.1,VI,A,Mediterranean sea,41.00,6.00,21.75,8.80,Warm,pittera2014,medium,warm,VI
