Chr	Start	Stop	BlockLength	BlockSize
Syn_WH8101_rela	260	752	492	48
Syn_WH8101_rela	764	764	1	48
Syn_WH8101_rela	782	1341	562	48
Syn_WH8101_rela	1357	1479	122	48
Syn_WH8101_rela	1479	1964	485	48
Syn_WH8101_rela	1964	1964	1	48
Syn_WH8101_rela	1979	2005	32	48
Syn_WH8101_rela	2022	2023	1	48
Syn_WH8101_rela	2023	2023	1	48
Syn_WH8101_rela	2066	2086	20	48
Syn_WH8101_rela	2098	2180	104	48
Syn_WH8101_rela	2180	3511	1331	48
Syn_WH8101_rela	3511	4280	809	48
Syn_WH8101_rela	4280	4291	11	48
Syn_WH8101_rela	4325	4381	56	48
Syn_WH8101_rela	4399	4445	46	48
Syn_WH8101_rela	4480	4506	26	48
Syn_WH8101_rela	4537	4545	8	48
Syn_WH8101_rela	4565	4574	9	48
Syn_WH8101_rela	4574	4976	424	48
Syn_WH8101_rela	4976	4977	1	48
Syn_WH8101_rela	4992	5478	528	48
Syn_WH8101_rela	5478	5977	506	48
Syn_WH8101_rela	6015	6058	52	48
Syn_WH8101_rela	6079	6171	100	48
Syn_WH8101_rela	6186	6300	114	48
Syn_WH8101_rela	6304	6304	1	48
Syn_WH8101_rela	6309	6592	283	48
Syn_WH8101_rela	6604	6794	196	48
Syn_WH8101_rela	6794	8533	1741	48
Syn_WH8101_rela	8544	8544	6	48
Syn_WH8101_rela	8550	8810	263	48
Syn_WH8101_rela	8810	9157	347	48
Syn_WH8101_rela	9157	9394	237	48
Syn_WH8101_rela	9422	9437	15	48
Syn_WH8101_rela	9459	9711	255	48
Syn_WH8101_rela	9711	10153	445	48
Syn_WH8101_rela	10153	10477	326	48
Syn_WH8101_rela	10495	11115	620	48
Syn_WH8101_rela	11125	11146	35	48
Syn_WH8101_rela	11146	11898	752	48
Syn_WH8101_rela	11957	12189	236	48
Syn_WH8101_rela	12196	12602	406	48
Syn_WH8101_rela	12626	12665	39	48
Syn_WH8101_rela	12673	12673	6	48
Syn_WH8101_rela	12704	12711	7	48
Syn_WH8101_rela	12712	12712	1	48
Syn_WH8101_rela	12747	12747	9	48
Syn_WH8101_rela	12759	12760	1	48
Syn_WH8101_rela	12760	12815	55	48
Syn_WH8101_rela	12830	12830	1	48
Syn_WH8101_rela	12831	12831	3	48
Syn_WH8101_rela	12831	12846	18	48
Syn_WH8101_rela	12874	12874	6	48
Syn_WH8101_rela	12926	13014	88	48
Syn_WH8101_rela	13032	13033	1	48
Syn_WH8101_rela	13061	13064	3	48
Syn_WH8101_rela	13068	13068	1	48
Syn_WH8101_rela	13080	13464	384	48
Syn_WH8101_rela	13464	14103	639	48
Syn_WH8101_rela	14105	14105	4	48
Syn_WH8101_rela	14105	14126	21	48
Syn_WH8101_rela	14134	14147	13	48
Syn_WH8101_rela	14156	14514	364	48
Syn_WH8101_rela	14514	15534	1031	48
Syn_WH8101_rela	15540	15568	31	48
Syn_WH8101_rela	15587	15607	20	48
Syn_WH8101_rela	15607	16976	1369	48
