Chr	Start	Stop	BlockLength	BlockSize
Syn_WH8101_rela	260	764	513	48
Syn_WH8101_rela	764	1479	735	48
Syn_WH8101_rela	1479	1964	485	48
Syn_WH8101_rela	1964	2023	150	48
Syn_WH8101_rela	2023	2180	224	48
Syn_WH8101_rela	2180	3511	1331	48
Syn_WH8101_rela	3511	4280	809	48
Syn_WH8101_rela	4280	4506	226	48
Syn_WH8101_rela	4506	4574	78	48
Syn_WH8101_rela	4574	4976	424	48
Syn_WH8101_rela	4976	5478	547	48
Syn_WH8101_rela	5478	6304	920	48
Syn_WH8101_rela	6304	6794	505	48
Syn_WH8101_rela	6794	8810	2043	48
Syn_WH8101_rela	8810	9157	347	48
Syn_WH8101_rela	9157	9711	569	48
Syn_WH8101_rela	9711	10153	445	48
Syn_WH8101_rela	10153	11146	1028	48
Syn_WH8101_rela	11146	12673	1572	48
Syn_WH8101_rela	12673	12712	70	48
Syn_WH8101_rela	12712	12747	100	48
Syn_WH8101_rela	12747	12760	26	48
Syn_WH8101_rela	12760	12830	77	48
Syn_WH8101_rela	12830	12831	1	48
Syn_WH8101_rela	12831	12874	90	48
Syn_WH8101_rela	12926	13068	159	48
Syn_WH8101_rela	13068	13464	396	48
Syn_WH8101_rela	13464	14105	655	48
Syn_WH8101_rela	14105	14126	21	48
Syn_WH8101_rela	14126	14514	402	48
Syn_WH8101_rela	14514	15607	1117	48
Syn_WH8101_rela	15607	17106	1524	48
Syn_WH8101_rela	17106	17396	299	48
Syn_WH8101_rela	17484	17523	42	48
Syn_WH8101_rela	17527	17945	505	48
Syn_WH8101_rela	17945	18183	238	48
Syn_WH8101_rela	18183	18838	661	48
Syn_WH8101_rela	18838	19264	444	48
Syn_WH8101_rela	19264	19745	484	48
Syn_WH8101_rela	19745	20268	526	48
Syn_WH8101_rela	20268	20485	217	48
Syn_WH8101_rela	20485	20492	23	48
Syn_WH8101_rela	24469	24769	377	48
Syn_WH8101_rela	24769	25378	626	48
Syn_WH8101_rela	25378	25704	335	48
Syn_WH8101_rela	25704	26844	1179	48
Syn_WH8101_rela	26844	27259	415	48
Syn_WH8101_rela	27259	27615	360	48
Syn_WH8101_rela	27615	28074	466	48
Syn_WH8101_rela	28074	28664	604	48
Syn_WH8101_rela	28664	29118	465	48
Syn_WH8101_rela	29118	29665	547	48
Syn_WH8101_rela	29665	30575	953	48
Syn_WH8101_rela	31721	32695	1021	48
Syn_WH8101_rela	32695	33832	1174	48
Syn_WH8101_rela	33832	34605	786	48
Syn_WH8101_rela	34605	35883	1315	48
Syn_WH8101_rela	35883	36104	225	48
Syn_WH8101_rela	36104	36381	299	48
Syn_WH8101_rela	36381	37348	1055	48
Syn_WH8101_rela	37348	37860	522	48
Syn_WH8101_rela	37860	39000	1146	48
Syn_WH8101_rela	39000	39810	863	48
Syn_WH8101_rela	39810	40326	624	48
Syn_WH8101_rela	40326	40769	462	48
Syn_WH8101_rela	40769	40847	81	48
Syn_WH8101_rela	40847	41226	499	48
Syn_WH8101_rela	41226	41487	281	48
Syn_WH8101_rela	41487	41560	140	48
Syn_WH8101_rela	41560	41585	51	48
Syn_WH8101_rela	41585	41931	390	48
Syn_WH8101_rela	41931	41991	92	48
Syn_WH8101_rela	41991	43537	1584	48
Syn_WH8101_rela	43537	44435	925	48
Syn_WH8101_rela	44435	44747	312	48
Syn_WH8101_rela	44747	45992	1245	48
Syn_WH8101_rela	45992	45999	7	48
Syn_WH8101_rela	55090	55406	329	48
Syn_WH8101_rela	55406	56226	917	48
Syn_WH8101_rela	56226	56658	432	48
Syn_WH8101_rela	56658	58004	1378	48
Syn_WH8101_rela	58004	58017	27	48
Syn_WH8101_rela	58017	58591	580	48
Syn_WH8101_rela	58591	59199	614	48
Syn_WH8101_rela	60698	61534	851	48
Syn_WH8101_rela	61534	61855	346	48
Syn_WH8101_rela	61855	62177	395	48
Syn_WH8101_rela	62177	62706	537	48
Syn_WH8101_rela	62706	63377	691	48
Syn_WH8101_rela	63377	63384	7	48
Syn_WH8101_rela	63384	63423	41	48
Syn_WH8101_rela	63423	63993	655	48
Syn_WH8101_rela	63993	64283	290	48
Syn_WH8101_rela	64283	64981	714	48
Syn_WH8101_rela	64981	65185	226	48
Syn_WH8101_rela	65185	65401	279	48
Syn_WH8101_rela	65401	65645	244	48
Syn_WH8101_rela	72004	72036	37	48
Syn_WH8101_rela	72036	72059	40	48
Syn_WH8101_rela	72080	72107	81	48
Syn_WH8101_rela	72146	72335	247	48
Syn_WH8101_rela	72335	72577	292	48
Syn_WH8101_rela	72590	72624	75	48
Syn_WH8101_rela	72624	72751	203	48
Syn_WH8101_rela	72752	72783	77	48
Syn_WH8101_rela	72783	72785	2	48
Syn_WH8101_rela	72785	73110	325	48
Syn_WH8101_rela	73110	73906	801	48
Syn_WH8101_rela	73906	74026	146	48
Syn_WH8101_rela	74026	74280	254	48
Syn_WH8101_rela	74280	74594	314	48
Syn_WH8101_rela	74594	74616	22	48
Syn_WH8101_rela	74616	75086	473	48
Syn_WH8101_rela	75086	75796	713	48
Syn_WH8101_rela	75796	76118	348	48
Syn_WH8101_rela	76118	76940	868	48
Syn_WH8101_rela	76940	78285	1356	48
Syn_WH8101_rela	78285	78431	207	48
Syn_WH8101_rela	78431	78758	327	48
Syn_WH8101_rela	78758	79468	719	48
Syn_WH8101_rela	79468	79693	225	48
Syn_WH8101_rela	79693	80439	803	48
Syn_WH8101_rela	80439	82275	1869	48
Syn_WH8101_rela	82275	82355	101	48
Syn_WH8101_rela	98429	98430	1	48
Syn_WH8101_rela	98430	98435	5	48
Syn_WH8101_rela	98435	98452	53	48
Syn_WH8101_rela	98540	98643	140	48
Syn_WH8101_rela	100185	101860	1689	48
Syn_WH8101_rela	101860	103003	1143	48
Syn_WH8101_rela	103123	103311	207	48
Syn_WH8101_rela	103311	103315	4	48
Syn_WH8101_rela	103315	103804	489	48
Syn_WH8101_rela	103813	104878	1076	48
Syn_WH8101_rela	105652	106508	916	48
Syn_WH8101_rela	106508	106729	221	48
Syn_WH8101_rela	106729	107021	292	48
Syn_WH8101_rela	107021	107257	254	48
Syn_WH8101_rela	107415	108057	642	48
Syn_WH8101_rela	108057	109380	1356	48
Syn_WH8101_rela	109380	110134	783	48
Syn_WH8101_rela	110134	110493	401	48
Syn_WH8101_rela	110493	110497	4	48
Syn_WH8101_rela	110497	110972	480	48
Syn_WH8101_rela	110972	110973	1	48
Syn_WH8101_rela	110973	110977	5	48
Syn_WH8101_rela	110977	110979	5	48
Syn_WH8101_rela	110979	111063	110	48
Syn_WH8101_rela	111063	111521	458	48
Syn_WH8101_rela	111521	112211	693	48
Syn_WH8101_rela	112211	112592	395	48
Syn_WH8101_rela	112602	112816	230	48
Syn_WH8101_rela	112816	113463	647	48
Syn_WH8101_rela	113463	113549	86	48
Syn_WH8101_rela	113549	113593	44	48
Syn_WH8101_rela	113593	113600	8	48
Syn_WH8101_rela	135233	135317	136	48
Syn_WH8101_rela	135317	135782	491	48
Syn_WH8101_rela	135782	137191	1409	48
Syn_WH8101_rela	137191	137206	27	48
Syn_WH8101_rela	137208	137213	8	48
Syn_WH8101_rela	137213	137217	5	48
Syn_WH8101_rela	137217	137249	37	48
Syn_WH8101_rela	137249	137262	13	48
Syn_WH8101_rela	137262	137973	810	48
Syn_WH8101_rela	137973	138476	521	48
Syn_WH8101_rela	138476	139905	1444	48
Syn_WH8101_rela	139905	140281	396	48
Syn_WH8101_rela	140281	141239	985	48
Syn_WH8101_rela	141239	141905	666	48
Syn_WH8101_rela	141905	142123	218	48
Syn_WH8101_rela	142255	142611	356	48
Syn_WH8101_rela	142611	143056	492	48
Syn_WH8101_rela	143056	143331	277	48
Syn_WH8101_rela	143331	144048	728	48
Syn_WH8101_rela	144048	144522	481	48
Syn_WH8101_rela	144522	144798	277	48
Syn_WH8101_rela	144834	145359	576	48
Syn_WH8101_rela	145359	145971	630	48
Syn_WH8101_rela	147792	147987	249	48
Syn_WH8101_rela	149931	150429	538	48
Syn_WH8101_rela	150429	151413	1060	48
Syn_WH8101_rela	151413	151479	68	48
Syn_WH8101_rela	160580	161420	927	48
Syn_WH8101_rela	167531	167945	455	48
Syn_WH8101_rela	167945	167968	23	48
Syn_WH8101_rela	167968	168020	52	48
Syn_WH8101_rela	168037	168708	719	48
Syn_WH8101_rela	168708	168963	268	48
Syn_WH8101_rela	169980	172174	2209	48
Syn_WH8101_rela	172174	172629	495	48
Syn_WH8101_rela	177098	177434	339	48
Syn_WH8101_rela	177434	178861	1473	48
Syn_WH8101_rela	178861	178873	46	48
Syn_WH8101_rela	178873	179544	708	48
Syn_WH8101_rela	179804	180185	425	48
Syn_WH8101_rela	180185	180510	357	48
Syn_WH8101_rela	180510	181512	1061	48
Syn_WH8101_rela	181512	182274	777	48
Syn_WH8101_rela	182274	182468	203	48
Syn_WH8101_rela	182468	182469	1	48
Syn_WH8101_rela	182469	182521	62	48
Syn_WH8101_rela	182521	182797	293	48
Syn_WH8101_rela	183461	183708	251	48
Syn_WH8101_rela	183708	183709	1	48
Syn_WH8101_rela	183709	183726	37	48
Syn_WH8101_rela	183811	184628	837	48
Syn_WH8101_rela	185213	186031	838	48
Syn_WH8101_rela	186031	186577	546	48
Syn_WH8101_rela	187469	187550	87	48
Syn_WH8101_rela	189777	190329	626	48
Syn_WH8101_rela	190329	191045	724	48
Syn_WH8101_rela	191045	191245	234	48
Syn_WH8101_rela	191245	191871	636	48
Syn_WH8101_rela	191871	192019	169	48
