Chr	Start	Stop	BlockLength	BlockSize
Syn_WH8101_rela	794	1548	804	48
Syn_WH8101_rela	1548	2027	527	48
Syn_WH8101_rela	2027	2044	40	48
Syn_WH8101_rela	2044	2053	57	48
Syn_WH8101_rela	2053	2185	202	48
Syn_WH8101_rela	2185	3383	1205	48
Syn_WH8101_rela	3383	4417	1114	48
Syn_WH8101_rela	4417	4454	58	48
Syn_WH8101_rela	4454	4893	500	48
Syn_WH8101_rela	4893	5478	697	48
Syn_WH8101_rela	5478	5973	517	48
Syn_WH8101_rela	5973	5993	59	48
Syn_WH8101_rela	5993	6840	1135	48
Syn_WH8101_rela	6840	8948	2163	48
Syn_WH8101_rela	8948	10157	1415	48
Syn_WH8101_rela	10157	10471	338	48
Syn_WH8101_rela	10471	11161	811	48
Syn_WH8101_rela	11161	11929	796	48
Syn_WH8101_rela	11929	12328	516	48
Syn_WH8101_rela	12328	12685	418	48
Syn_WH8101_rela	12685	12761	228	48
Syn_WH8101_rela	12761	12836	180	48
Syn_WH8101_rela	12836	12837	1	48
Syn_WH8101_rela	12837	12858	54	48
Syn_WH8101_rela	12858	12866	33	47
Syn_WH8101_rela	12866	12882	48	44
Syn_WH8101_rela	12913	12920	25	37
Syn_WH8101_rela	12920	12932	50	47
Syn_WH8101_rela	12932	12938	6	45
Syn_WH8101_rela	12938	13464	627	48
Syn_WH8101_rela	13464	13676	212	48
Syn_WH8101_rela	13676	14107	440	48
Syn_WH8101_rela	14107	14108	1	48
Syn_WH8101_rela	14108	14109	1	48
Syn_WH8101_rela	14109	14623	561	48
Syn_WH8101_rela	14623	15596	1032	48
Syn_WH8101_rela	15596	17106	1610	48
Syn_WH8101_rela	17106	17380	280	48
Syn_WH8101_rela	17380	17382	2	36
Syn_WH8101_rela	17382	17386	4	36
Syn_WH8101_rela	17386	17393	49	36
Syn_WH8101_rela	17393	17412	67	39
Syn_WH8101_rela	17412	17474	243	46
Syn_WH8101_rela	17474	17482	11	48
Syn_WH8101_rela	17482	17526	56	48
Syn_WH8101_rela	17526	17589	127	48
Syn_WH8101_rela	17589	17916	368	48
Syn_WH8101_rela	17916	18182	266	48
Syn_WH8101_rela	18182	18847	789	48
Syn_WH8101_rela	18847	19264	444	48
Syn_WH8101_rela	19264	19742	509	48
Syn_WH8101_rela	19742	20485	779	48
Syn_WH8101_rela	20485	20494	34	48
Syn_WH8101_rela	20494	20496	17	46
Syn_WH8101_rela	20496	21027	532	48
Syn_WH8101_rela	21027	21566	555	45
Syn_WH8101_rela	21566	21571	5	37
Syn_WH8101_rela	21571	21572	1	34
Syn_WH8101_rela	21572	21576	4	37
Syn_WH8101_rela	21576	21636	128	41
Syn_WH8101_rela	21636	21735	125	41
Syn_WH8101_rela	21735	21760	49	39
Syn_WH8101_rela	21760	21778	19	40
Syn_WH8101_rela	21778	22109	352	42
Syn_WH8101_rela	22109	22327	218	42
Syn_WH8101_rela	22327	22541	214	42
Syn_WH8101_rela	22541	22862	332	43
Syn_WH8101_rela	22862	23274	425	42
Syn_WH8101_rela	23274	24284	1083	44
Syn_WH8101_rela	24284	24383	104	29
Syn_WH8101_rela	24383	24402	25	23
Syn_WH8101_rela	24402	24409	7	31
Syn_WH8101_rela	24409	24661	307	48
Syn_WH8101_rela	24661	24778	221	48
Syn_WH8101_rela	24778	25364	677	48
Syn_WH8101_rela	25364	25711	372	48
Syn_WH8101_rela	25711	26919	1313	48
Syn_WH8101_rela	26919	27259	370	48
Syn_WH8101_rela	27259	27627	377	48
Syn_WH8101_rela	27627	28067	478	48
Syn_WH8101_rela	28067	28471	450	48
Syn_WH8101_rela	28471	29127	727	48
Syn_WH8101_rela	29127	29666	543	48
Syn_WH8101_rela	29666	30407	795	48
Syn_WH8101_rela	30747	32695	2262	48
Syn_WH8101_rela	32695	33820	1233	48
Syn_WH8101_rela	33820	34615	892	48
Syn_WH8101_rela	34615	35896	1439	48
Syn_WH8101_rela	35896	37103	1497	48
Syn_WH8101_rela	37103	37127	65	48
Syn_WH8101_rela	37127	37347	429	48
Syn_WH8101_rela	37347	37767	436	48
Syn_WH8101_rela	37767	38401	726	48
Syn_WH8101_rela	38401	39005	642	48
Syn_WH8101_rela	39005	39668	722	48
Syn_WH8101_rela	39668	39718	78	48
Syn_WH8101_rela	39718	39805	136	48
Syn_WH8101_rela	39805	39806	1	45
Syn_WH8101_rela	39806	39916	252	46
Syn_WH8101_rela	39916	40280	458	46
Syn_WH8101_rela	40280	40846	610	46
Syn_WH8101_rela	40846	40850	4	46
Syn_WH8101_rela	40850	41135	357	48
Syn_WH8101_rela	41135	41137	2	41
Syn_WH8101_rela	41137	41192	151	48
Syn_WH8101_rela	41192	41496	434	48
Syn_WH8101_rela	41496	41519	47	48
Syn_WH8101_rela	41519	41640	276	48
