Chr	Start	Stop	BlockSize	BlockLength	AlnScore
Syn_WH8101_rela	0	33	34	58	-inf
Syn_WH8101_rela	33	40	35	7	-inf
Syn_WH8101_rela	40	260	46	221	-inf
Syn_WH8101_rela	260	764	48	513	-inf
Syn_WH8101_rela	764	1479	48	735	-inf
Syn_WH8101_rela	1479	1964	48	485	-inf
Syn_WH8101_rela	1964	2023	48	150	-inf
Syn_WH8101_rela	2023	2180	48	224	-inf
Syn_WH8101_rela	2180	3511	48	1331	-inf
Syn_WH8101_rela	3511	4280	48	809	-inf
Syn_WH8101_rela	4280	4506	48	226	-inf
Syn_WH8101_rela	4506	4574	48	78	-inf
Syn_WH8101_rela	4574	4976	48	424	-inf
Syn_WH8101_rela	4976	5478	48	547	-inf
Syn_WH8101_rela	5478	6304	48	920	-inf
Syn_WH8101_rela	6304	6794	48	505	-inf
Syn_WH8101_rela	6794	8810	48	2043	-inf
Syn_WH8101_rela	8810	9157	48	347	-inf
Syn_WH8101_rela	9157	9711	48	569	-inf
Syn_WH8101_rela	9711	10153	48	445	-inf
Syn_WH8101_rela	10153	11146	48	1028	-inf
Syn_WH8101_rela	11146	12673	48	1572	-inf
Syn_WH8101_rela	12673	12712	48	70	-inf
Syn_WH8101_rela	12712	12747	48	100	-inf
Syn_WH8101_rela	12747	12760	48	26	-inf
Syn_WH8101_rela	12760	12830	48	77	-inf
Syn_WH8101_rela	12830	12831	48	1	-inf
Syn_WH8101_rela	12831	12874	48	90	-inf
Syn_WH8101_rela	12874	12896	46	55	-inf
Syn_WH8101_rela	12896	12897	36	1	-inf
Syn_WH8101_rela	12897	12911	46	53	-inf
Syn_WH8101_rela	12911	12926	46	28	-inf
Syn_WH8101_rela	12926	13068	48	159	-inf
Syn_WH8101_rela	13068	13464	48	396	-inf
Syn_WH8101_rela	13464	14105	48	655	-inf
Syn_WH8101_rela	14105	14126	48	21	-inf
Syn_WH8101_rela	14126	14514	48	402	-inf
Syn_WH8101_rela	14514	15607	48	1117	-inf
Syn_WH8101_rela	15607	17106	48	1524	-inf
Syn_WH8101_rela	17106	17396	48	299	-inf
Syn_WH8101_rela	17421	17435	43	32	-inf
Syn_WH8101_rela	17435	17475	43	88	-inf
Syn_WH8101_rela	17475	17484	46	27	-inf
Syn_WH8101_rela	17484	17523	48	42	-inf
Syn_WH8101_rela	17523	17527	41	7	-inf
Syn_WH8101_rela	17527	17945	48	505	-inf
Syn_WH8101_rela	17945	18183	48	238	-inf
Syn_WH8101_rela	18183	18838	48	661	-inf
Syn_WH8101_rela	18838	19264	48	444	-inf
Syn_WH8101_rela	19264	19745	48	484	-inf
Syn_WH8101_rela	19745	20268	48	526	-inf
Syn_WH8101_rela	20268	20485	48	217	-inf
Syn_WH8101_rela	20485	20492	48	23	-inf
Syn_WH8101_rela	20492	20494	45	3	-inf
Syn_WH8101_rela	20494	21597	46	1144	-inf
Syn_WH8101_rela	21597	21611	41	29	-inf
Syn_WH8101_rela	21611	21628	39	56	-inf
Syn_WH8101_rela	21628	21636	41	12	-inf
Syn_WH8101_rela	21636	21638	41	2	-inf
Syn_WH8101_rela	21638	21640	41	2	-inf
Syn_WH8101_rela	21640	21784	40	167	-inf
Syn_WH8101_rela	21784	21848	42	66	-inf
Syn_WH8101_rela	21848	22110	42	273	-inf
Syn_WH8101_rela	22110	22327	42	217	-inf
Syn_WH8101_rela	22327	22528	42	201	-inf
Syn_WH8101_rela	22528	22863	42	346	-inf
Syn_WH8101_rela	22863	23199	42	336	-inf
Syn_WH8101_rela	23199	23697	45	498	-inf
Syn_WH8101_rela	23697	24190	46	494	-inf
Syn_WH8101_rela	24190	24213	43	39	-inf
Syn_WH8101_rela	24213	24290	44	125	-inf
Syn_WH8101_rela	24290	24401	47	111	-inf
Syn_WH8101_rela	24401	24469	47	76	-inf
Syn_WH8101_rela	24469	24769	48	377	-inf
Syn_WH8101_rela	24769	25378	48	626	-inf
Syn_WH8101_rela	25378	25704	48	335	-inf
Syn_WH8101_rela	25704	26844	48	1179	-inf
Syn_WH8101_rela	26844	27259	48	415	-inf
Syn_WH8101_rela	27259	27615	48	360	-inf
Syn_WH8101_rela	27615	28074	48	466	-inf
Syn_WH8101_rela	28074	28664	48	604	-inf
Syn_WH8101_rela	28664	29118	48	465	-inf
Syn_WH8101_rela	29118	29665	48	547	-inf
Syn_WH8101_rela	29665	30575	48	953	-inf
Syn_WH8101_rela	30575	30576	42	1	-inf
Syn_WH8101_rela	31721	32695	48	1021	-inf
Syn_WH8101_rela	32695	33832	48	1174	-inf
Syn_WH8101_rela	33832	34605	48	786	-inf
Syn_WH8101_rela	34605	35883	48	1315	-inf
Syn_WH8101_rela	35883	36104	48	225	-inf
Syn_WH8101_rela	36104	36381	48	299	-inf
Syn_WH8101_rela	36381	37348	48	1055	-inf
Syn_WH8101_rela	37348	37860	48	522	-inf
Syn_WH8101_rela	37860	39000	48	1146	-inf
Syn_WH8101_rela	39000	39810	48	863	-inf
Syn_WH8101_rela	39810	40326	48	624	-inf
Syn_WH8101_rela	40326	40769	48	462	-inf
Syn_WH8101_rela	40769	40847	48	81	-inf
Syn_WH8101_rela	40847	41226	48	499	-inf
Syn_WH8101_rela	41226	41487	48	281	-inf
Syn_WH8101_rela	41487	41560	48	140	-inf
Syn_WH8101_rela	41560	41585	48	51	-inf
Syn_WH8101_rela	41585	41931	48	390	-inf
Syn_WH8101_rela	41931	41991	48	92	-inf
Syn_WH8101_rela	41991	43537	48	1584	-inf
Syn_WH8101_rela	43537	44435	48	925	-inf
Syn_WH8101_rela	44435	44747	48	312	-inf
Syn_WH8101_rela	44747	45992	48	1245	-inf
Syn_WH8101_rela	45992	45999	48	7	-inf
Syn_WH8101_rela	45999	46004	46	13	-inf
Syn_WH8101_rela	46004	46016	41	33	-inf
Syn_WH8101_rela	46016	46019	41	14	-inf
Syn_WH8101_rela	46019	46231	41	244	-inf
Syn_WH8101_rela	46231	46587	2	356	-inf
Syn_WH8101_rela	46587	47221	2	640	-inf
Syn_WH8101_rela	47221	47686	2	465	-inf
Syn_WH8101_rela	47686	55090	2	7404	-inf
Syn_WH8101_rela	55090	55406	48	329	-inf
Syn_WH8101_rela	55406	56226	48	917	-inf
Syn_WH8101_rela	56226	56658	48	432	-inf
Syn_WH8101_rela	56658	58004	48	1378	-inf
Syn_WH8101_rela	58004	58017	48	27	-inf
Syn_WH8101_rela	58017	58591	48	580	-inf
Syn_WH8101_rela	58591	59199	48	614	-inf
Syn_WH8101_rela	60698	61534	48	851	-inf
Syn_WH8101_rela	61534	61855	48	346	-inf
Syn_WH8101_rela	61855	62177	48	395	-inf
Syn_WH8101_rela	62177	62706	48	537	-inf
Syn_WH8101_rela	62706	63377	48	691	-inf
Syn_WH8101_rela	63377	63384	48	7	-inf
Syn_WH8101_rela	63384	63423	48	41	-inf
Syn_WH8101_rela	63423	63993	48	655	-inf
Syn_WH8101_rela	63993	64283	48	290	-inf
Syn_WH8101_rela	64283	64981	48	714	-inf
Syn_WH8101_rela	64981	65185	48	226	-inf
Syn_WH8101_rela	65185	65401	48	279	-inf
Syn_WH8101_rela	65401	65645	48	244	-inf
Syn_WH8101_rela	71955	71972	47	37	-inf
Syn_WH8101_rela	71972	71977	47	15	-inf
Syn_WH8101_rela	71977	71979	22	2	-inf
Syn_WH8101_rela	71979	72004	46	37	-inf
Syn_WH8101_rela	72004	72036	48	37	-inf
Syn_WH8101_rela	72036	72059	48	40	-inf
Syn_WH8101_rela	72059	72074	47	21	-inf
Syn_WH8101_rela	72074	72080	47	24	-inf
Syn_WH8101_rela	72080	72107	48	81	-inf
Syn_WH8101_rela	72107	72108	42	1	-inf
Syn_WH8101_rela	72108	72123	45	46	-inf
Syn_WH8101_rela	72123	72142	45	33	-inf
Syn_WH8101_rela	72142	72146	40	8	-inf
Syn_WH8101_rela	72146	72335	48	247	-inf
Syn_WH8101_rela	72335	72577	48	292	-inf
Syn_WH8101_rela	72577	72580	47	3	-inf
Syn_WH8101_rela	72580	72590	47	13	-inf
Syn_WH8101_rela	72590	72624	48	75	-inf
Syn_WH8101_rela	72624	72751	48	203	-inf
Syn_WH8101_rela	72751	72752	46	1	-inf
Syn_WH8101_rela	72752	72783	48	77	-inf
Syn_WH8101_rela	72783	72785	48	2	-inf
Syn_WH8101_rela	72785	73110	48	325	-inf
Syn_WH8101_rela	73110	73906	48	801	-inf
Syn_WH8101_rela	73906	74026	48	146	-inf
Syn_WH8101_rela	74026	74280	48	254	-inf
Syn_WH8101_rela	74280	74594	48	314	-inf
Syn_WH8101_rela	74594	74616	48	22	-inf
Syn_WH8101_rela	74616	75086	48	473	-inf
Syn_WH8101_rela	75086	75796	48	713	-inf
