Chr	Start	Stop	BlockSize	BlockLength	AlnScore
Syn_WH8101_rela	794	1548	48	774	-inf
Syn_WH8101_rela	1548	2027	48	479	-inf
Syn_WH8101_rela	2027	2044	48	31	-inf
Syn_WH8101_rela	2044	2053	48	42	-inf
Syn_WH8101_rela	2053	2185	48	173	-inf
Syn_WH8101_rela	2185	3383	48	1198	-inf
Syn_WH8101_rela	3383	4417	48	1053	-inf
Syn_WH8101_rela	4417	4454	48	58	-inf
Syn_WH8101_rela	4454	4893	48	462	-inf
Syn_WH8101_rela	4893	5478	48	647	-inf
Syn_WH8101_rela	5478	5973	48	502	-inf
Syn_WH8101_rela	5973	5993	48	48	-inf
Syn_WH8101_rela	5993	6840	48	920	-inf
Syn_WH8101_rela	6840	8948	48	2138	-inf
Syn_WH8101_rela	8948	10157	48	1249	-inf
Syn_WH8101_rela	10157	10471	48	316	-inf
Syn_WH8101_rela	10471	11161	48	719	-inf
Syn_WH8101_rela	11161	11929	48	790	-inf
Syn_WH8101_rela	11929	12328	48	433	-inf
Syn_WH8101_rela	12328	12685	48	357	-inf
Syn_WH8101_rela	12685	12761	48	115	-inf
Syn_WH8101_rela	12761	12836	48	133	-inf
Syn_WH8101_rela	12836	12837	48	1	-inf
Syn_WH8101_rela	12837	12858	48	36	-inf
Syn_WH8101_rela	12858	12866	47	23	-inf
Syn_WH8101_rela	12866	12882	44	46	-inf
Syn_WH8101_rela	12913	12920	37	19	-inf
Syn_WH8101_rela	12920	12932	47	48	-inf
Syn_WH8101_rela	12932	12938	45	6	-inf
Syn_WH8101_rela	12938	13464	48	538	-inf
Syn_WH8101_rela	13464	13676	48	212	-inf
Syn_WH8101_rela	13676	14107	48	439	-inf
Syn_WH8101_rela	14107	14108	48	1	-inf
Syn_WH8101_rela	14108	14109	48	1	-inf
Syn_WH8101_rela	14109	14623	48	525	-inf
Syn_WH8101_rela	14623	15596	48	995	-inf
Syn_WH8101_rela	15596	17106	48	1535	-inf
Syn_WH8101_rela	17106	17380	48	280	-inf
Syn_WH8101_rela	17380	17382	36	2	-inf
Syn_WH8101_rela	17382	17386	36	4	-inf
Syn_WH8101_rela	17386	17393	36	19	-inf
Syn_WH8101_rela	17393	17412	39	46	-inf
Syn_WH8101_rela	17412	17474	46	146	-inf
Syn_WH8101_rela	17474	17482	48	11	-inf
Syn_WH8101_rela	17482	17526	48	53	-inf
Syn_WH8101_rela	17526	17589	48	90	-inf
Syn_WH8101_rela	17589	17916	48	340	-inf
Syn_WH8101_rela	17916	18182	48	266	-inf
Syn_WH8101_rela	18182	18847	48	671	-inf
Syn_WH8101_rela	18847	19264	48	435	-inf
Syn_WH8101_rela	19264	19742	48	479	-inf
Syn_WH8101_rela	19742	20485	48	746	-inf
Syn_WH8101_rela	20485	20494	48	28	-inf
Syn_WH8101_rela	20494	20496	46	17	-inf
Syn_WH8101_rela	20496	21027	48	531	-inf
Syn_WH8101_rela	21027	21566	45	539	-inf
Syn_WH8101_rela	21566	21571	37	5	-inf
Syn_WH8101_rela	21571	21572	34	1	-inf
Syn_WH8101_rela	21572	21576	37	4	-inf
Syn_WH8101_rela	21576	21636	41	79	-inf
Syn_WH8101_rela	21636	21735	41	105	-inf
Syn_WH8101_rela	21735	21760	39	62	-inf
Syn_WH8101_rela	21760	21778	40	18	-inf
Syn_WH8101_rela	21778	22109	42	340	-inf
Syn_WH8101_rela	22109	22327	42	218	-inf
Syn_WH8101_rela	22327	22541	42	214	-inf
Syn_WH8101_rela	22541	22862	43	332	-inf
Syn_WH8101_rela	22862	23274	42	412	-inf
Syn_WH8101_rela	23274	24284	44	1047	-inf
Syn_WH8101_rela	24284	24383	29	103	-inf
Syn_WH8101_rela	24383	24402	23	25	-inf
Syn_WH8101_rela	24402	24409	31	7	-inf
Syn_WH8101_rela	24409	24661	48	263	-inf
Syn_WH8101_rela	24661	24778	48	174	-inf
Syn_WH8101_rela	24778	25364	48	611	-inf
Syn_WH8101_rela	25364	25711	48	360	-inf
Syn_WH8101_rela	25711	26919	48	1247	-inf
Syn_WH8101_rela	26919	27259	48	342	-inf
Syn_WH8101_rela	27259	27627	48	371	-inf
Syn_WH8101_rela	27627	28067	48	447	-inf
Syn_WH8101_rela	28067	28471	48	416	-inf
Syn_WH8101_rela	28471	29127	48	679	-inf
Syn_WH8101_rela	29127	29666	48	539	-inf
Syn_WH8101_rela	29666	30407	48	746	-inf
Syn_WH8101_rela	30747	32695	48	2049	-inf
Syn_WH8101_rela	32695	33820	48	1161	-inf
Syn_WH8101_rela	33820	34615	48	824	-inf
Syn_WH8101_rela	34615	35896	48	1325	-inf
Syn_WH8101_rela	35896	37103	48	1278	-inf
Syn_WH8101_rela	37103	37127	48	64	-inf
Syn_WH8101_rela	37127	37347	48	274	-inf
Syn_WH8101_rela	37347	37767	48	431	-inf
Syn_WH8101_rela	37767	38401	48	654	-inf
Syn_WH8101_rela	38401	39005	48	610	-inf
Syn_WH8101_rela	39005	39668	48	679	-inf
Syn_WH8101_rela	39668	39718	48	64	-inf
Syn_WH8101_rela	39718	39805	48	119	-inf
Syn_WH8101_rela	39805	39806	45	1	-inf
Syn_WH8101_rela	39806	39916	46	177	-inf
Syn_WH8101_rela	39916	40280	46	384	-inf
Syn_WH8101_rela	40280	40846	46	581	-inf
Syn_WH8101_rela	40846	40850	46	4	-inf
Syn_WH8101_rela	40850	41135	48	329	-inf
Syn_WH8101_rela	41135	41137	41	2	-inf
Syn_WH8101_rela	41137	41192	48	88	-inf
