Chr	Start	Stop	BlockLength	BlockSize
Syn_WH8101_rela	794	1548	774	48
Syn_WH8101_rela	1548	2027	479	48
Syn_WH8101_rela	2027	2044	31	48
Syn_WH8101_rela	2044	2053	42	48
Syn_WH8101_rela	2053	2185	173	48
Syn_WH8101_rela	2185	3383	1198	48
Syn_WH8101_rela	3383	4417	1053	48
Syn_WH8101_rela	4417	4454	58	48
Syn_WH8101_rela	4454	4893	462	48
Syn_WH8101_rela	4893	5478	647	48
Syn_WH8101_rela	5478	5973	502	48
Syn_WH8101_rela	5973	5993	48	48
Syn_WH8101_rela	5993	6840	920	48
Syn_WH8101_rela	6840	8948	2138	48
Syn_WH8101_rela	8948	10157	1249	48
Syn_WH8101_rela	10157	10471	316	48
Syn_WH8101_rela	10471	11161	719	48
Syn_WH8101_rela	11161	11929	790	48
Syn_WH8101_rela	11929	12328	433	48
Syn_WH8101_rela	12328	12685	357	48
Syn_WH8101_rela	12685	12761	115	48
Syn_WH8101_rela	12761	12836	133	48
Syn_WH8101_rela	12836	12837	1	48
Syn_WH8101_rela	12837	12858	36	48
Syn_WH8101_rela	12938	13464	538	48
Syn_WH8101_rela	13464	13676	212	48
Syn_WH8101_rela	13676	14107	439	48
Syn_WH8101_rela	14107	14108	1	48
Syn_WH8101_rela	14108	14109	1	48
Syn_WH8101_rela	14109	14623	525	48
Syn_WH8101_rela	14623	15596	995	48
Syn_WH8101_rela	15596	17106	1535	48
Syn_WH8101_rela	17106	17380	280	48
Syn_WH8101_rela	17474	17482	11	48
Syn_WH8101_rela	17482	17526	53	48
Syn_WH8101_rela	17526	17589	90	48
Syn_WH8101_rela	17589	17916	340	48
Syn_WH8101_rela	17916	18182	266	48
Syn_WH8101_rela	18182	18847	671	48
Syn_WH8101_rela	18847	19264	435	48
Syn_WH8101_rela	19264	19742	479	48
Syn_WH8101_rela	19742	20485	746	48
Syn_WH8101_rela	20485	20494	28	48
Syn_WH8101_rela	20496	21027	531	48
Syn_WH8101_rela	24409	24661	263	48
Syn_WH8101_rela	24661	24778	174	48
Syn_WH8101_rela	24778	25364	611	48
Syn_WH8101_rela	25364	25711	360	48
Syn_WH8101_rela	25711	26919	1247	48
Syn_WH8101_rela	26919	27259	342	48
Syn_WH8101_rela	27259	27627	371	48
Syn_WH8101_rela	27627	28067	447	48
Syn_WH8101_rela	28067	28471	416	48
Syn_WH8101_rela	28471	29127	679	48
Syn_WH8101_rela	29127	29666	539	48
Syn_WH8101_rela	29666	30407	746	48
Syn_WH8101_rela	30747	32695	2049	48
Syn_WH8101_rela	32695	33820	1161	48
Syn_WH8101_rela	33820	34615	824	48
Syn_WH8101_rela	34615	35896	1325	48
Syn_WH8101_rela	35896	37103	1278	48
Syn_WH8101_rela	37103	37127	64	48
Syn_WH8101_rela	37127	37347	274	48
Syn_WH8101_rela	37347	37767	431	48
Syn_WH8101_rela	37767	38401	654	48
Syn_WH8101_rela	38401	39005	610	48
Syn_WH8101_rela	39005	39668	679	48
Syn_WH8101_rela	39668	39718	64	48
Syn_WH8101_rela	39718	39805	119	48
Syn_WH8101_rela	40850	41135	329	48
Syn_WH8101_rela	41137	41192	88	48
Syn_WH8101_rela	41192	41496	348	48
Syn_WH8101_rela	41496	41519	36	48
Syn_WH8101_rela	41519	41640	158	48
Syn_WH8101_rela	41640	41682	70	48
Syn_WH8101_rela	41682	41951	307	48
Syn_WH8101_rela	41951	43548	1668	48
Syn_WH8101_rela	43548	44424	906	48
Syn_WH8101_rela	44424	44742	318	48
Syn_WH8101_rela	44742	45992	1250	48
Syn_WH8101_rela	45992	45998	6	48
Syn_WH8101_rela	45998	45999	1	48
Syn_WH8101_rela	55120	55167	63	48
Syn_WH8101_rela	55167	55414	281	48
Syn_WH8101_rela	55414	55747	333	48
Syn_WH8101_rela	55747	56119	433	48
Syn_WH8101_rela	56119	56238	179	48
Syn_WH8101_rela	56238	57140	902	48
Syn_WH8101_rela	57140	57998	895	48
Syn_WH8101_rela	57998	58004	24	48
Syn_WH8101_rela	58004	59199	1223	48
Syn_WH8101_rela	60702	61592	913	48
Syn_WH8101_rela	61592	61858	312	48
Syn_WH8101_rela	61858	62196	409	48
Syn_WH8101_rela	62196	62710	523	48
Syn_WH8101_rela	62710	63135	432	48
Syn_WH8101_rela	63135	63364	230	48
Syn_WH8101_rela	63364	63377	67	48
Syn_WH8101_rela	63377	63457	102	48
Syn_WH8101_rela	63988	64297	309	48
Syn_WH8101_rela	64297	65178	953	48
Syn_WH8101_rela	65178	66067	915	48
Syn_WH8101_rela	66067	66307	240	48
Syn_WH8101_rela	71993	71995	4	48
